m/z	retention_time	p-value	t-score	custom_id
70.0652429871506	44.3972263336182	0.15327567979625992	-2.008317678799448	M70.065243T44.3972
70.1625283000224	573.48095703125	0.9557140973627867	-0.10039416588721481	M70.162528T573.481
70.5686089042893	582.715911865234	0.0005944159700959686	4.468158045974787	M70.568609T582.7159_1
70.7183873298569	490.996551513672	0.10026063139857509	2.258610816707357	M70.718387T490.9966_1
70.8193975522133	582.64208984375	0.003811902454837186	3.7498653722679456	M70.819398T582.6421_2
70.9419435580367	765.502197265625	0.6334242316179226	0.8081164990633306	M70.941944T765.5022
70.9580493737383	4.47224521636963	0.8594964605354783	0.3284213484805404	M70.958049T4.4722
70.9580475602051	28.6660261154175	0.6170951818204525	0.838224529694428	M70.958048T28.666
70.9805910606811	755.352020263672	0.8169939058391001	0.41169214342738264	M70.980591T755.352
71.0292726976438	34.8893127441406	0.3930370248546227	1.295530353291941	M71.029273T34.8893
71.0489644635539	491.028686523438	0.010779359467133865	3.3216515637401653	M71.048964T491.0287_2
71.0853625082656	617.240051269531	0.6423096218186508	0.7910445931055169	M71.085363T617.2401
71.9294004099396	773.227905273438	0.7334444932465739	-0.5968334603151221	M71.9294T773.2279
72.0441649576341	582.519073486328	0.006766773921392295	3.5254784186596866	M72.044165T582.5191
72.0643270095238	57.3200130462646	0.7630781933450818	0.5315050644035935	M72.064327T57.32_1
72.0802513451063	56.7562637329102	0.36391626150401885	1.366194084368389	M72.080251T56.7563_2
72.0975219762564	57.3337287902832	0.6681560930148829	0.735103729414989	M72.097522T57.3337_3
72.9369896106779	765.736267089844	0.6225530836003168	0.8272473764315236	M72.93699T765.7363_1
72.9576154068394	765.772338867188	0.1035394422987993	2.2419341195657125	M72.957615T765.7723_2
73.0521448664627	428.497787475586	0.14870247876812442	2.0287733579788916	M73.052145T428.4978
73.065030157714	655.212219238281	0.9378477872588715	-0.1528959812797405	M73.06503T655.2122
73.064982692225	599.52978515625	0.16488650335387287	1.9615875228854844	M73.064983T599.5298
73.064874637693	517.403991699219	0.7734303738507335	0.5079189565393774	M73.064875T517.404
