m/z,retention_time,p-value,t-score,custom_id
103.0537,376,6.61E-06,6.56,AE_pos_103.0537_376
103.0749,133,0.54634556,0.62,AE_pos_103.0749_133
103.0749,536,0.112367098,-1.68,AE_pos_103.0749_536
103.9548,500,0.009613146,-2.94,AE_pos_103.9548_500
103.9551,53,0.705638048,-0.38,AE_pos_103.9551_53
104.0602,92,0.384582605,-0.89,AE_pos_104.0602_92
104.0601,512,0.746952038,-0.33,AE_pos_104.0601_512
104.1066,48,0.002242872,-3.63,AE_pos_104.1066_48
105.033,234,0.023656603,-2.5,AE_pos_105.033_234
105.1035,47,0.408015176,0.85,AE_pos_105.1035_47
105.9531,504,0.051916214,-2.1,AE_pos_105.9531_504
105.9533,54,0.46305265,-0.75,AE_pos_105.9533_54
105.9579,29,0.82738802,-0.22,AE_pos_105.9579_29
105.9625,33,0.365427789,-0.93,AE_pos_105.9625_33
105.9625,398,0.653048726,0.46,AE_pos_105.9625_398
106.0409,31,0.426599492,0.82,AE_pos_106.0409_31
106.0407,386,0.920821334,-0.1,AE_pos_106.0407_386
106.1069,47,0.429002393,0.81,AE_pos_106.1069_47
106.9514,55,0.639400824,0.48,AE_pos_106.9514_55
106.9913,484,0.506999607,0.68,AE_pos_106.9913_484
106.9913,27,0.595045102,0.54,AE_pos_106.9913_27
106.9984,80,0.765245853,0.3,AE_pos_106.9984_80
107.0306,26,0.371977557,0.92,AE_pos_107.0306_26
107.0486,158,0.030727879,2.37,AE_pos_107.0486_158
107.0486,478,0.445600292,-0.78,AE_pos_107.0486_478
107.0599,105,0.132458607,-1.59,AE_pos_107.0599_105
107.0599,467,0.058962006,2.03,AE_pos_107.0599_467
107.0724,106,0.757370026,0.31,AE_pos_107.0724_106
107.0724,458,0.735357072,-0.34,AE_pos_107.0724_458
107.085,97,0.724859017,-0.36,AE_pos_107.085_97
107.085,447,0.638732253,-0.48,AE_pos_107.085_447
107.9528,29,0.640460341,-0.48,AE_pos_107.9528_29
107.9594,29,0.287541713,1.1,AE_pos_107.9594_29
108.0087,164,0.111266674,-1.69,AE_pos_108.0087_164
108.0677,101,0.079440546,-1.87,AE_pos_108.0677_101
108.0677,342,0.432211708,0.81,AE_pos_108.0677_342
108.0677,535,0.921020528,0.1,AE_pos_108.0677_535
108.0758,492,0.954172007,-0.06,AE_pos_108.0758_492
108.0804,97,0.326963629,-1.01,AE_pos_108.0804_97
108.0802,541,0.07808873,-1.88,AE_pos_108.0802_541
108.517,60,0.367601063,0.93,AE_pos_108.517_60
108.5169,333,0.569047127,-0.58,AE_pos_108.5169_333
108.536,38,0.232392736,1.24,AE_pos_108.536_38
108.9252,29,0.52868892,0.64,AE_pos_108.9252_29
108.9504,29,0.422391867,-0.82,AE_pos_108.9504_29
109.0219,44,0.176244847,1.41,AE_pos_109.0219_44
109.0219,328,0.216612245,-1.29,AE_pos_109.0219_328
109.0279,132,0.004188291,3.34,AE_pos_109.0279_132
109.0408,51,0.927212416,0.09,AE_pos_109.0408_51
109.0409,301,0.825192181,0.22,AE_pos_109.0409_301
109.0408,540,0.087627037,-1.82,AE_pos_109.0408_540
109.0503,359,0.148004599,1.52,AE_pos_109.0503_359
109.0756,494,0.838404388,-0.21,AE_pos_109.0756_494
109.0756,30,0.52571643,0.65,AE_pos_109.0756_30
109.1006,86,0.35148334,-0.96,AE_pos_109.1006_86
109.9582,28,0.025395517,2.47,AE_pos_109.9582_28
109.9781,445,0.118891991,-1.65,AE_pos_109.9781_445
109.9781,53,0.095463821,1.77,AE_pos_109.9781_53
109.9887,30,0.387979486,-0.89,AE_pos_109.9887_30
109.995,526,0.134823098,-1.57,AE_pos_109.995_526
110.0083,539,0.224765823,1.26,AE_pos_110.0083_539
110.0084,39,0.041764359,2.21,AE_pos_110.0084_39
110.0196,38,0.496861758,0.7,AE_pos_110.0196_38
110.0423,71,0.021894593,-2.54,AE_pos_110.0423_71
110.0597,76,0.902226744,-0.12,AE_pos_110.0597_76
110.0709,156,0.596178348,0.54,AE_pos_110.0709_156
110.0708,533,0.256204696,-1.18,AE_pos_110.0708_533
110.0791,30,0.441950496,0.79,AE_pos_110.0791_30
110.5209,34,0.008336421,3.01,AE_pos_110.5209_34
110.922,27,0.194395432,1.35,AE_pos_110.922_27
111.0091,480,0.549329433,-0.61,AE_pos_111.0091_480
111.0198,19,0.890812761,0.14,AE_pos_111.0198_19
111.0387,53,0.009950681,2.92,AE_pos_111.0387_53
111.0387,426,0.204097825,1.32,AE_pos_111.0387_426
111.0556,124,0.783169205,0.28,AE_pos_111.0556_124
111.0799,209,0.757173787,0.31,AE_pos_111.0799_209
111.0799,542,0.440283445,0.79,AE_pos_111.0799_542
111.5213,25,0.883667241,0.15,AE_pos_111.5213_25
111.5214,397,0.80751392,-0.25,AE_pos_111.5214_397
111.5307,164,0.640791857,-0.48,AE_pos_111.5307_164
111.5362,26,0.322042715,1.02,AE_pos_111.5362_26
111.9677,28,0.485067606,0.71,AE_pos_111.9677_28
111.9838,23,0.969836367,0.04,AE_pos_111.9838_23
112.0058,518,0.652086872,-0.46,AE_pos_112.0058_518
112.0174,27,0.723377149,-0.36,AE_pos_112.0174_27
112.0389,478,0.872735637,-0.16,AE_pos_112.0389_478
112.0501,181,0.009132973,2.96,AE_pos_112.0501_181
112.0564,150,nan,nan,AE_pos_112.0564_150
112.0768,61,0.658498941,-0.45,AE_pos_112.0768_61
112.519,17,0.173319268,-1.43,AE_pos_112.519_17
112.9553,34,0.92904385,-0.09,AE_pos_112.9553_34
112.9665,35,0.704231979,-0.39,AE_pos_112.9665_35
112.9663,409,0.328442991,1.01,AE_pos_112.9663_409
112.9779,28,0.81289174,0.24,AE_pos_112.9779_28
112.9862,29,0.408553033,-0.85,AE_pos_112.9862_29
112.9867,518,0.601646421,-0.53,AE_pos_112.9867_518
113.0006,165,0.261071818,-1.17,AE_pos_113.0006_165
113.0163,385,0.590491608,-0.55,AE_pos_113.0163_385
113.0163,26,0.020860366,-2.56,AE_pos_113.0163_26
113.0203,103,1.14E-16,35.62,AE_pos_113.0203_103
113.0593,128,0.314724265,1.04,AE_pos_113.0593_128
113.1067,98,0.916615443,-0.11,AE_pos_113.1067_98
113.9632,40,0.192296529,-1.36,AE_pos_113.9632_40
113.9812,37,0.05637317,-2.06,AE_pos_113.9812_37
113.9813,344,0.103064166,1.73,AE_pos_113.9813_344
113.9812,540,0.462490912,0.75,AE_pos_113.9812_540
114.0368,466,0.943224163,0.07,AE_pos_114.0368_466
114.0543,71,0.062967101,2,AE_pos_114.0543_71
114.0544,414,0.789246139,0.27,AE_pos_114.0544_414
114.0648,54,0.405592294,-0.85,AE_pos_114.0648_54
114.0908,121,0.022889852,-2.52,AE_pos_114.0908_121
114.9636,25,0.128069789,-1.6,AE_pos_114.9636_25
114.9665,27,0.447519651,0.78,AE_pos_114.9665_27
115.0164,33,0.176578784,1.41,AE_pos_115.0164_33
115.0382,487,0.838857832,-0.21,AE_pos_115.0382_487
115.0383,20,0.513808947,0.67,AE_pos_115.0383_20
115.0478,48,0.001844559,3.72,AE_pos_115.0478_48
115.0536,55,0.745702048,0.33,AE_pos_115.0536_55
115.0536,375,0.067153015,1.96,AE_pos_115.0536_375
115.0746,112,0.024577485,2.48,AE_pos_115.0746_112
115.0872,133,0.010475826,2.9,AE_pos_115.0872_133
115.0942,294,0.319510457,-1.03,AE_pos_115.0942_294
115.1111,483,0.808512172,0.25,AE_pos_115.1111_483
115.5266,23,0.486535156,0.71,AE_pos_115.5266_23
115.957,73,0.602582209,-0.53,AE_pos_115.957_73
115.957,544,0.048930734,2.13,AE_pos_115.957_544
115.9636,26,0.419687472,-0.83,AE_pos_115.9636_26
115.9787,21,0.306010572,1.06,AE_pos_115.9787_21
116.0014,393,0.462574704,0.75,AE_pos_116.0014_393
116.0099,526,0.001556415,-3.8,AE_pos_116.0099_526
116.016,419,0.243228616,-1.21,AE_pos_116.016_419
116.0335,83,4.82E-05,-5.5,AE_pos_116.0335_83
116.0419,552,0.947779183,0.07,AE_pos_116.0419_552
116.0701,47,0.252992962,-1.19,AE_pos_116.0701_47
116.0797,89,0.842623836,-0.2,AE_pos_116.0797_89
116.096,91,0.400094721,-0.86,AE_pos_116.096_91
116.1065,67,0.988344112,-0.01,AE_pos_116.1065_67
116.1063,371,0.930219699,-0.09,AE_pos_116.1063_371
116.5458,31,0.413815019,0.84,AE_pos_116.5458_31
116.9711,33,0.189240242,-1.37,AE_pos_116.9711_33
116.9751,506,0.434128435,0.8,AE_pos_116.9751_506
116.9753,26,0.128921079,-1.6,AE_pos_116.9753_26
116.9996,21,0.088700636,1.81,AE_pos_116.9996_21
117.0369,97,0.00029067,-4.61,AE_pos_117.0369_97
117.0388,547,0.583474806,-0.56,AE_pos_117.0388_547
117.0567,54,0.318466999,1.03,AE_pos_117.0567_54
117.07,377,0.759774935,0.31,AE_pos_117.07_377
117.0905,545,0.713077425,-0.37,AE_pos_117.0905_545
117.0906,52,0.084551899,-1.84,AE_pos_117.0906_52
117.5486,27,0.91927838,0.1,AE_pos_117.5486_27
117.954,75,0.898801357,-0.13,AE_pos_117.954_75
117.959,27,0.147696464,1.52,AE_pos_117.959_27
117.9817,488,0.014519117,-2.74,AE_pos_117.9817_488
118.0518,36,0.677427132,-0.42,AE_pos_118.0518_36
118.0537,266,0.906461632,-0.12,AE_pos_118.0537_266
118.0858,54,0.22984227,-1.25,AE_pos_118.0858_54
118.1222,100,0.1134304,-1.67,AE_pos_118.1222_100
118.1222,529,0.791680957,0.27,AE_pos_118.1222_529
118.4835,441,0.444843379,0.78,AE_pos_118.4835_441
118.4838,33,0.172960541,1.43,AE_pos_118.4838_33
118.9668,84,0.694974536,-0.4,AE_pos_118.9668_84
118.9669,514,0.735216644,0.34,AE_pos_118.9669_514
118.9835,41,0.956756707,0.06,AE_pos_118.9835_41
119.0003,525,0.487654648,-0.71,AE_pos_119.0003_525
119.013,434,0.270538912,1.14,AE_pos_119.013_434
119.0346,351,0.186124537,1.38,AE_pos_119.0346_351
119.0612,228,0.071903356,1.93,AE_pos_119.0612_228
119.0849,398,0.025957863,2.45,AE_pos_119.0849_398
119.5155,190,0.418980101,-0.83,AE_pos_119.5155_190
120.0107,108,3.36E-06,-6.93,AE_pos_120.0107_108
120.0232,51,0.787786791,-0.27,AE_pos_120.0232_51
120.0438,494,0.102066231,1.73,AE_pos_120.0438_494
120.044,119,0.881984534,-0.15,AE_pos_120.044_119
120.0649,189,0.595845902,0.54,AE_pos_120.0649_189
120.0649,56,0.01599099,2.69,AE_pos_120.0649_56
120.0803,54,0.003258416,3.46,AE_pos_120.0803_54
120.5361,163,0.122214865,-1.63,AE_pos_120.5361_163
120.9654,526,0.002254548,-3.63,AE_pos_120.9654_526
121.014,88,5.23E-05,-5.46,AE_pos_121.014_88
121.028,105,0.757737497,0.31,AE_pos_121.028_105
121.0391,154,0.615190444,-0.51,AE_pos_121.0391_154
121.9574,28,0.450269171,-0.77,AE_pos_121.9574_28
121.9658,82,0.015911302,-2.7,AE_pos_121.9658_82
121.9656,386,0.638585832,0.48,AE_pos_121.9656_386
121.9654,528,0.772738262,0.29,AE_pos_121.9654_528
122.0709,73,7.59E-08,9.29,AE_pos_122.0709_73
122.9607,26,0.915019985,-0.11,AE_pos_122.9607_26
123.0199,61,0.866955756,-0.17,AE_pos_123.0199_61
123.0265,148,0.221190557,-1.27,AE_pos_123.0265_148
123.0415,45,0.212533033,1.3,AE_pos_123.0415_45
123.0796,141,0.141138413,1.55,AE_pos_123.0796_141
123.0798,500,0.593522579,0.54,AE_pos_123.0798_500
123.0911,278,0.710624536,-0.38,AE_pos_123.0911_278
123.0911,63,0.641700317,-0.47,AE_pos_123.0911_63
123.0995,85,0.699856623,-0.39,AE_pos_123.0995_85
123.9543,26,0.074429206,-1.91,AE_pos_123.9543_26
123.9637,67,0.433107824,-0.8,AE_pos_123.9637_67
123.9637,309,0.108379193,1.7,AE_pos_123.9637_309
123.9637,499,0.800923121,-0.26,AE_pos_123.9637_499
123.9716,27,0.164817831,-1.46,AE_pos_123.9716_27
124.0411,140,9.07E-05,5.18,AE_pos_124.0411_140
124.5311,55,0.235688049,-1.23,AE_pos_124.5311_55
