,input_row,EID,str_row_ion,compounds,input_row.1,m/z,retention_time,p_value,statistic,CompoundID_from_user,compound_name,compound_name_no_colon
10,row86,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row86,75.0440817397602,617.233215332031,0.6667473135958861,0.7355571362203646,M75.044082T617.2332_1,Propionate (n-C3:0),Propionate (n-C3:0)
11,row87,E33,row87_M+H[1+],C00937;C00424;C05235;C00163,row87,75.0441084606364,581.023071289062,0.5679962679471131,-0.9359956019807648,M75.044108T581.0231,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
11,row87,E33,row87_M+H[1+],C00937;C00424;C05235;C00163,row87,75.0441084606364,581.023071289062,0.5679962679471131,-0.9359956019807648,M75.044108T581.0231,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
11,row87,E33,row87_M+H[1+],C00937;C00424;C05235;C00163,row87,75.0441084606364,581.023071289062,0.5679962679471131,-0.9359956019807648,M75.044108T581.0231,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
11,row87,E33,row87_M+H[1+],C00937;C00424;C05235;C00163,row87,75.0441084606364,581.023071289062,0.5679962679471131,-0.9359956019807648,M75.044108T581.0231,Propionate (n-C3:0),Propionate (n-C3:0)
12,row88,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row88,75.0439961512365,652.294799804688,0.653893408716471,0.7642237567095683,M75.043996T652.2948,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
12,row88,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row88,75.0439961512365,652.294799804688,0.653893408716471,0.7642237567095683,M75.043996T652.2948,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
12,row88,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row88,75.0439961512365,652.294799804688,0.653893408716471,0.7642237567095683,M75.043996T652.2948,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
12,row88,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row88,75.0439961512365,652.294799804688,0.653893408716471,0.7642237567095683,M75.043996T652.2948,Propionate (n-C3:0),Propionate (n-C3:0)
13,row89,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row89,75.0439853709581,635.689514160156,0.9313364472829218,0.1669252352381771,M75.043985T635.6895,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
13,row89,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row89,75.0439853709581,635.689514160156,0.9313364472829218,0.1669252352381771,M75.043985T635.6895,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
13,row89,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row89,75.0439853709581,635.689514160156,0.9313364472829218,0.1669252352381771,M75.043985T635.6895,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
13,row89,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row89,75.0439853709581,635.689514160156,0.9313364472829218,0.1669252352381771,M75.043985T635.6895,Propionate (n-C3:0),Propionate (n-C3:0)
14,row90,E32,row90_M+H[1+],C00937;C00424;C05235;C00163,row90,75.0441206905176,559.3642578125,0.0194569154011276,3.045521274035033,M75.044121T559.3643,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
14,row90,E32,row90_M+H[1+],C00937;C00424;C05235;C00163,row90,75.0441206905176,559.3642578125,0.0194569154011276,3.045521274035033,M75.044121T559.3643,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
14,row90,E32,row90_M+H[1+],C00937;C00424;C05235;C00163,row90,75.0441206905176,559.3642578125,0.0194569154011276,3.045521274035033,M75.044121T559.3643,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
14,row90,E32,row90_M+H[1+],C00937;C00424;C05235;C00163,row90,75.0441206905176,559.3642578125,0.0194569154011276,3.045521274035033,M75.044121T559.3643,Propionate (n-C3:0),Propionate (n-C3:0)
15,row91,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row91,75.0441244113279,600.362060546875,0.9069773009667876,-0.2269109431072256,M75.044124T600.3621,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
15,row91,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row91,75.0441244113279,600.362060546875,0.9069773009667876,-0.2269109431072256,M75.044124T600.3621,(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde,(S)-Lactaldehyde
15,row91,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row91,75.0441244113279,600.362060546875,0.9069773009667876,-0.2269109431072256,M75.044124T600.3621,Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol,Hydroxyacetone
15,row91,E34,row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+],C00937;C00424;C05235;C00163,row91,75.0441244113279,600.362060546875,0.9069773009667876,-0.2269109431072256,M75.044124T600.3621,Propionate (n-C3:0),Propionate (n-C3:0)
16,row92,E38,row92_M+H[1+],C00937;C00424;C05235;C00163,row92,75.044167235544,766.917724609375,0.0213875220047941,-3.0035334102057507,M75.044167T766.9177_2,(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde,(R)-Lactaldehyde
