massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	70.06524299	44.39722633	0.15327568	-2.008317679	M70.065243T44.3972
row2	70.1625283	573.480957	0.955714097	-0.100394166	M70.162528T573.481
row3	70.5686089	582.7159119	0.000594416	4.468158046	M70.568609T582.7159_1
row4	70.71838733	490.9965515	0.100260631	2.258610817	M70.718387T490.9966_1
row5	70.81939755	582.6420898	0.003811902	3.749865372	M70.819398T582.6421_2
row6	70.94194356	765.5021973	0.633424232	0.808116499	M70.941944T765.5022
row7	70.95804937	4.472245216	0.859496461	0.328421348	M70.958049T4.4722
row8	70.95804756	28.66602612	0.617095182	0.83822453	M70.958048T28.666
row9	70.98059106	755.3520203	0.816993906	0.411692143	M70.980591T755.352
row10	71.0292727	34.88931274	0.393037025	1.295530353	M71.029273T34.8893
row11	71.04896446	491.0286865	0.010779359	3.321651564	M71.048964T491.0287_2
row12	71.08536251	617.2400513	0.642309622	0.791044593	M71.085363T617.2401
row13	71.92940041	773.2279053	0.733444493	-0.59683346	M71.9294T773.2279
row14	72.04416496	582.5190735	0.006766774	3.525478419	M72.044165T582.5191
row15	72.06432701	57.32001305	0.763078193	0.531505064	M72.064327T57.32_1
row16	72.08025135	56.75626373	0.363916262	1.366194084	M72.080251T56.7563_2
row17	72.09752198	57.33372879	0.668156093	0.735103729	M72.097522T57.3337_3
row18	72.93698961	765.7362671	0.622553084	0.827247376	M72.93699T765.7363_1
row19	72.95761541	765.7723389	0.103539442	2.24193412	M72.957615T765.7723_2
row20	73.05214487	428.4977875	0.148702479	2.028773358	M73.052145T428.4978
row21	73.06503016	655.2122192	0.937847787	-0.152895981	M73.06503T655.2122
row22	73.06498269	599.5297852	0.164886503	1.961587523	M73.064983T599.5298
row23	73.06487464	517.4039917	0.773430374	0.507918957	M73.064875T517.404
row24	73.0648702	474.5842743	0.064290811	2.494125802	M73.06487T474.5843
row25	73.06488357	453.9545593	0.278590998	1.589665831	M73.064884T453.9546
row26	73.06485512	205.2423553	0.000350659	4.669094955	M73.064855T205.2424
row27	73.06477359	533.7743835	0.891014949	-0.261061791	M73.064774T533.7744
row28	73.08427596	48.82106781	0.324140715	1.464117328	M73.084276T48.8211
row29	73.16082367	491.0286865	0.651888547	0.77214279	M73.160824T491.0287_2
row30	73.94507661	773.4248047	0.54422844	0.98033077	M73.945077T773.4248
row31	74.02353939	162.3280334	0.057151237	2.557712885	M74.023539T162.328
row32	74.02336367	199.3932266	0.677466853	-0.714219215	M74.023364T199.3932
row33	74.06017635	43.18345451	0.7755572	0.504408301	M74.060176T43.1835
row34	74.93765866	766.8447266	0.776382054	0.502115342	M74.937659T766.8447_1
row35	74.95294114	765.7660217	0.652691682	0.770713867	M74.952941T765.766
row36	75.02300143	517.0114136	0.937847787	-0.150406107	M75.023001T517.0114_1
row37	75.0298681	196.6038208	0.547952856	-0.97386413	M75.029868T196.6038
