,compound_name,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index
26,D-Ornithine,D-ornithine,37.1227836608887,36.839999999999996,0.282783660888704,0.0869138785550971,M133.097407T37.1228,CHEBI:16176,16176,3,522
28,D-Ornithine,D-ornithine,36.5638465881348,36.839999999999996,0.27615341186519515,0.1491025391820532,M134.100801T36.5638,CHEBI:16176,16176,3,526
32,L-Proline,L-proline,44.6210021972656,44.94,0.31899780273440115,0.8771986882733952,M138.053521T44.621,CHEBI:17203,17203,22,564
57,D-Ornithine,D-ornithine,38.7590713500977,36.839999999999996,1.9190713500977026,0.0642636230491837,M155.07943T38.7591,CHEBI:16176,16176,3,742
78,L-Lysine,L-lysine,62.7052993774414,36.78,25.925299377441398,0.7187185587763608,M169.095636T62.7053_7,CHEBI:18019,18019,1,846
105,N-Acetylmethionine,N-acetylmethionine,196.675315856934,241.14000000000001,44.46468414306602,0.8304188218719887,M192.067214T196.6753_3,CHEBI:21557,21557,201,1022
119,D-Tryptophan,D-tryptophan,222.044967651367,234.42000000000002,12.375032348633027,0.9235903029237214,M205.097418T222.045,CHEBI:16296,16296,187,1115
116,L-Tryptophan,L-tryptophan,199.419281005859,200.64,1.2207189941409808,0.7032294700929799,M205.097436T199.4193_6,CHEBI:16828,16828,144,1112
121,L-Tryptophan,L-tryptophan,199.419647216797,200.64,1.2203527832029977,0.7068688432342609,M206.100724T199.4196_3,CHEBI:16828,16828,144,1119
134,L-Tryptophan,L-tryptophan,199.458236694336,200.64,1.181763305663992,0.8421108987327869,M227.079236T199.4582,CHEBI:16828,16828,144,1197
136,Indole-3-acetaldehyde,Indole-3-acetaldehyde,291.522705078125,317.76,26.23729492187499,5.430860626366522e-05,M228.063301T291.5227,CHEBI:18086,18086,303,1201
143,Testosterone,Testosterone,452.101318359375,453.0,0.898681640625,0.0814902190399894,M289.216194T452.1013_2,CHEBI:17347,17347,424,1420
163,Testosterone,Testosterone,452.144470214844,453.0,0.8555297851560226,0.0414674970205606,M311.198103T452.1445,CHEBI:17347,17347,424,1607
