,compound_name,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index
52,arachidonic acid,Arachidonic acid,593.69873046875,585.36,8.338730468749986,0.1203654114611614,M153.127624T593.6987_2,CHEBI:15843,15843,508,698
53,4-Hydroxyphenylacetate,4-hydroxyphenylacetic acid,263.086715698242,234.48,28.606715698242027,0.3789176347539717,M154.058618T263.0867,CHEBI:18101,18101,188,725
54,L-Isoleucine,L-isoleucine,98.6612091064453,101.22,2.5587908935547006,0.3971832806665654,M154.084246T98.6612,CHEBI:17191,17191,61,728
55,L-Histidine,L-histidine,475.875503540039,43.08,432.795503540039,0.150180498418841,M155.070243T475.8755,CHEBI:15971,15971,6,740
58,L-Histidine,L-histidine,42.6355895996094,43.08,0.4444104003905949,0.0069673716303879,M156.077071T42.6356,CHEBI:15971,15971,6,747
59,L-Histidine,L-histidine,60.79345703125,43.08,17.71345703125,0.0077339207149691,M156.076881T60.7935,CHEBI:15971,15971,6,748
60,L-Histidine,L-histidine,42.44362449646,43.08,0.6363755035400018,0.0022990272644989,M157.08123T42.4436_3,CHEBI:15971,15971,6,752
61,Geranyl diphosphate,Geranyl pyrophosphate,436.367523193359,439.02,2.6524768066410047,0.9993957364135562,M158.041587T436.3675,CHEBI:17211,17211,415,757
62,Hypoxanthine,Hypoxanthine,48.5593757629395,66.84,18.2806242370605,0.3789176347539717,M159.028035T48.5594,CHEBI:17368,17368,49,758
63,Hypoxanthine,Hypoxanthine,65.4211502075195,66.84,1.4188497924805006,0.681376346240834,M159.02802T65.4212_1,CHEBI:17368,17368,49,759
64,Hypoxanthine,Hypoxanthine,547.466064453125,66.84,480.62606445312497,0.4679538675006427,M159.029249T547.4661,CHEBI:17368,17368,49,760
65,Indole-3-acetaldehyde,Indole-3-acetaldehyde,199.983901977539,317.76,117.77609802246099,0.5126888886718429,M160.07572T199.9839,CHEBI:18086,18086,303,766
66,Indole-3-acetaldehyde,Indole-3-acetaldehyde,291.525726318359,317.76,26.234273681641014,6.498414212922305e-05,M160.07578T291.5257,CHEBI:18086,18086,303,767
67,Indole-3-acetaldehyde,Indole-3-acetaldehyde,381.035189582031,317.76,63.27518958203103,0.6653833681536008,M160.075976T381.0352,CHEBI:18086,18086,303,768
68,Indole-3-acetaldehyde,Indole-3-acetaldehyde,199.447372436523,317.76,118.31262756347698,0.4120187863100438,M161.079275T199.4474,CHEBI:18086,18086,303,774
69,arachidonic acid,Arachidonic acid,43.255220413208,585.36,542.104779586792,0.4928577498735512,M164.118059T43.2552_2,CHEBI:15843,15843,508,776
70,L-Phenylalanine,L-phenylalanine,81.1728820800781,163.62,82.44711791992191,0.6047776776909687,M165.077086T81.1729_3,CHEBI:17295,17295,109,796
71,L-Phenylalanine,L-phenylalanine,162.415054321289,163.62,1.204945678710999,0.0508453340968359,M166.086508T162.4151_6,CHEBI:17295,17295,109,811
72,L-Phenylalanine,L-phenylalanine,239.356872558594,163.62,75.736872558594,0.9684423674192236,M166.08657T239.3569,CHEBI:17295,17295,109,812
73,L-Phenylalanine,L-phenylalanine,162.410293579102,163.62,1.2097064208980157,0.04428625896819,M167.089818T162.4103_2,CHEBI:17295,17295,109,823
74,Pyridoxamine,Pyridoxamine,162.596374511719,169.08,6.483625488281007,0.0349458658504061,M168.090948T162.5964,CHEBI:16410,16410,112,831
75,L-Glutamine,L-glutamine,62.1095714569092,43.92,18.1895714569092,0.9142702265000524,M169.058552T62.1096,CHEBI:18050,18050,15,839
76,L-Glutamine,L-glutamine,42.5783500671387,43.92,1.3416499328613014,0.1983972349405423,M169.058404T42.5784,CHEBI:18050,18050,15,842
77,L-Lysine,L-lysine,38.2091255187988,36.78,1.4291255187987986,0.7591261900422247,M169.094911T38.2091_2,CHEBI:18019,18019,1,845
80,Pyridoxamine,Pyridoxamine,167.616592407227,169.08,1.4634075927730237,0.4583358822410466,M169.096734T167.6166,CHEBI:16410,16410,112,848
81,Prostaglandin B1,Prostaglandin B1,586.581176757812,512.7,73.881176757812,0.0046011443864094,M169.122556T586.5812,CHEBI:27624,27624,460,850
82,L-Glutamate,L-glutamic acid,62.6563949584961,269.64,206.9836050415039,0.0078616638831279,M170.040785T62.6564,CHEBI:16015,16015,236,861
83,L-Methionine,L-methionine,64.4718284606934,65.46,0.9881715393065917,0.1844617581804425,M172.040498T64.4718_2,CHEBI:16643,16643,46,869
