SOURCE	TARGET	ENZYMES
C00025	C00152	2.3.1.1;3.5.1.38;6.3.5.4
C00025	C00166	2.6.1.57;2.6.1.5;2.6.1.9;2.6.1.1
C00025	C00669	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	7thf	6.3.2.17
C00025	C00349	2.6.1.22;2.6.1.40
C00025	C16619	6.3.5.2
C00025	C00161	1.4.1.3;1.4.1.2
C00025	C16618	6.3.5.2
C00025	C05711	2.3.2.2
C00025	5thf	6.3.2.17
C00014	C00217	3.5.1.2;3.5.1.38;3.5.1.35
C03912	C05938	1.5.1.12;;1.5.99.8
C00049	C04751	6.3.2.6
C05947	C05938	1.5.1.12;1.5.99.8
C05938	C00148	1.5.1.12;;1.5.99.8
C05938	C00030	;1.5.99.8
C05938	C00028	;1.5.99.8
C05938	C04281	1.5.1.12;
C00217	C00819	3.5.1.2;3.5.1.38;3.5.1.35
C04751	C04823	6.3.2.6
C04751	C03373	4.1.1.21;6.3.2.6;6.3.3.1
